Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,Eng out rate of climb,Takeoff over 50ft,Price,Max speed Knots_103,Max speed Knots_106,Max speed Knots_122,Max speed Knots_125,Max speed Knots_130,Max speed Knots_143,Max speed Knots_145,Max speed Knots_149,Max speed Knots_153,Max speed Knots_160,Max speed Knots_175,Max speed Knots_182,Max speed Knots_204,Max speed Knots_205,Max speed Knots_210,Max speed Knots_226,Max speed Knots_229,Max speed Knots_230,Max speed Knots_257,Max speed Knots_261,Max speed Knots_271,Max speed Knots_351,Max speed Knots_91,Max speed Knots_97,"All eng rate of climb_1,050","All eng rate of climb_1,060","All eng rate of climb_1,150","All eng rate of climb_1,167 w/3bld","All eng rate of climb_1,270","All eng rate of climb_1,400","All eng rate of climb_1,475","All eng rate of climb_1,500","All eng rate of climb_1,610","All eng rate of climb_1,700","All eng rate of climb_1,800","All eng rate of climb_1,940","All eng rate of climb_3,242",All eng rate of climb_400,All eng rate of climb_670,All eng rate of climb_760,All eng rate of climb_800,All eng rate of climb_835,All eng rate of climb_900,All eng rate of climb_924,All eng rate of climb_927,All eng rate of climb_930,"Landing over 50ft_1,450","Landing over 50ft_1,600","Landing over 50ft_1,800","Landing over 50ft_12,050","Landing over 50ft_2,350","Landing over 50ft_2,400","Landing over 50ft_2,450","Landing over 50ft_2,500","Landing over 50ft_2,750","Landing over 50ft_3,110","Landing over 50ft_3,315","Landing over 50ft_3,350","Landing over 50ft_3,400","Landing over 50ft_3,800","Landing over 50ft_3,850","Landing over 50ft_4,990","Landing over 50ft_5,700","Landing over 50ft_5,975","Landing over 50ft_5,990","Landing over 50ft_6,200","Landing over 50ft_6,300","Landing over 50ft_7,300","Landing over 50ft_7,450",cluster
236.0,69.0,174,2200.0,1625.0,3010000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
120.0,49.0,49,1575.0,1220.0,1580000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
180.0,72.0,180,1250.0,1840.0,2950000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
90.0,46.0,39,1912.16,1614.24,1600000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
241.0,74.0,213,2323.0,2293.0,3020000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
191.0,73.0,102,1395.0,1720.0,2130000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0
215.0,71.0,102,2365.0,1850.0,2680000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
139.0,56.0,80,1670.0,1495.0,1600000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
210.0,71.0,102,2430.0,1840.0,2650000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0
172.0,51.0,74,1769.0,1324.0,1785800.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
176.04166666666666,53.0,87,2050.0,1585.0,1600000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
